iter	RMSE
0	1.091618757
1	1.087668689
2	1.084187424
3	1.081476433
4	1.078306325
5	1.075511385
6	1.072998257
7	1.070919095
8	1.068808052
9	1.067129864
10	1.065411208
11	1.063541034
12	1.06194575
13	1.060423338
14	1.059083109
15	1.057920523
16	1.056885226
17	1.055914888
18	1.054975624
19	1.054170537
20	1.053362856
21	1.052720682
22	1.052058746
23	1.051314529
24	1.050681389
25	1.050129394
26	1.049610977
27	1.04908616
28	1.048613916
29	1.048131646
30	1.04768414
31	1.047339201
32	1.046905161
33	1.046502795
34	1.046133693
35	1.045718827
36	1.045445479
37	1.045162343
38	1.044827538
39	1.044509361
40	1.044161471
41	1.043911228
42	1.043653969
43	1.04346057
44	1.043206601
45	1.042998669
46	1.042800435
47	1.042595326
48	1.042386647
49	1.042184236
50	1.041993095
51	1.041832664
52	1.041668458
53	1.041522511
54	1.041413928
55	1.041302145
56	1.041151706
57	1.040993241
58	1.040883852
59	1.04074258
60	1.040593437
61	1.040434824
62	1.040360483
63	1.040273402
64	1.040187815
65	1.040044414
66	1.039961062
67	1.039871505
68	1.039769293
69	1.039636668
70	1.039557135
71	1.039457835
72	1.039344558
73	1.039295635
74	1.039247931
75	1.039167805
76	1.039124293
77	1.03905672
78	1.039024075
79	1.038978302
80	1.038924317
81	1.038853723
82	1.038803837
83	1.038734362
84	1.038679895
85	1.038618373
86	1.038572801
87	1.038506885
88	1.038478736
89	1.038438958
90	1.038369271
91	1.038290424
92	1.038198654
93	1.038150806
94	1.038114715
95	1.038095901
96	1.038048832
97	1.038007688
98	1.03799298
99	1.037977143
100	1.037908993
101	1.037875685
102	1.037853103
103	1.03782525
104	1.037771425
105	1.037740277
106	1.037692659
107	1.037616616
108	1.037587157
109	1.037533916
110	1.037512519
111	1.037438785
112	1.037424131
113	1.037347253
114	1.037320987
115	1.037287723
116	1.037258318
117	1.037217425
118	1.037154624
119	1.037085855
120	1.03705591
121	1.037012059
122	1.037001543
123	1.036955053
124	1.036943689
125	1.036908152
126	1.036804486
127	1.036772524
128	1.03672439
129	1.03671227
130	1.036684418
131	1.036665453
132	1.036659204
133	1.036629027
134	1.03658387
135	1.036564714
136	1.036538397
137	1.036489593
138	1.036463526
139	1.036423701
140	1.036410007
141	1.036363333
142	1.036337577
143	1.03630761
144	1.036285716
145	1.036271518
146	1.03625377
147	1.036226817
148	1.036201308
149	1.036170396
150	1.036136592
151	1.03612126
152	1.036064079
153	1.036047961
154	1.036015127
155	1.035995678
156	1.035967587
157	1.035910303
158	1.035884064
159	1.035860401
160	1.035832652
161	1.035814771
162	1.035794815
163	1.03575091
164	1.035718381
165	1.035703263
166	1.035669884
167	1.035644896
168	1.035631318
169	1.035598974
170	1.035591555
171	1.035572821
172	1.035544122
173	1.035525575
174	1.035494799
175	1.035463268
176	1.035447204
177	1.035419601
178	1.035385804
179	1.035358828
180	1.035314685
181	1.035300851
182	1.035284501
183	1.035275508
184	1.035256674
185	1.035231235
186	1.03519476
187	1.035177559
188	1.035168471
189	1.035162559
190	1.035149917
191	1.035134225
192	1.035099287
193	1.035070794
194	1.03504966
195	1.035014562
196	1.034993836
197	1.034969649
198	1.034954332
199	1.034904635
200	1.034896017
201	1.034879975
202	1.034859686
203	1.034817818
204	1.034801932
205	1.034752575
206	1.034733636
207	1.034700792
208	1.034671187
209	1.034644225
210	1.034607225
211	1.034550998
212	1.034523561
213	1.034514624
214	1.034478469
215	1.034459243
216	1.034429127
217	1.034424785
218	1.034404393
219	1.034400302
220	1.034374402
221	1.034356999
222	1.034329178
223	1.034299406
224	1.034282127
225	1.03424269
226	1.034175994
227	1.034161452
228	1.034141496
229	1.034124875
230	1.034078287
231	1.03404155
232	1.034032641
233	1.034021213
234	1.033997854
235	1.033990928
236	1.033974872
237	1.033962751
238	1.033931677
239	1.03391625
240	1.033903625
241	1.033876831
242	1.033864048
243	1.033847801
244	1.033822171
245	1.033785866
246	1.033775726
247	1.03375951
248	1.033748803
249	1.033736554
250	1.033713283
251	1.033678328
252	1.033633514
253	1.033603816
254	1.033595722
255	1.03354911
256	1.033540795
257	1.033506433
258	1.033471124
259	1.033448666
260	1.033432633
261	1.03340189
262	1.033372059
263	1.033356687
264	1.033329564
265	1.033320932
266	1.033293209
267	1.03326766
268	1.033233635
269	1.033225003
270	1.03321908
271	1.033168481
272	1.033146331
273	1.033129317
274	1.033093869
275	1.033042161
276	1.033036584
277	1.033014652
278	1.032963633
279	1.032944189
280	1.032923138
281	1.032884311
282	1.032838675
283	1.032824965
284	1.03278976
285	1.032771258
286	1.032739549
287	1.032718399
288	1.032687603
289	1.032675183
290	1.03265586
291	1.03264385
292	1.032634771
293	1.032627615
294	1.032591268
295	1.03258449
296	1.03255845
297	1.032539409
298	1.03251879
299	1.032506179
300	1.032487925
301	1.03247358
