iter	Passed	Remaining
0	931	616031
1	1662	548479
2	2398	526765
3	3137	516060
4	3851	506064
5	4484	490331
6	5202	486786
7	5741	469377
8	6374	462510
9	7085	461997
10	7640	452180
11	8276	448306
12	8970	447850
13	9647	446544
14	10349	446420
15	10975	443138
16	11587	439640
17	12277	439271
18	12969	438919
19	13544	434790
20	14205	433608
21	14783	430074
22	15387	427513
23	16072	427263
24	16712	425837
25	17342	424221
26	18016	423712
27	18706	423559
28	19343	422221
29	19849	418155
30	20387	414982
31	21040	414239
32	21568	411101
33	22322	412300
34	22947	411091
35	23571	409873
36	24104	407172
37	24774	406816
38	25319	404461
39	25921	403077
40	26520	401692
41	27184	401294
42	27865	401140
43	28410	399036
44	28952	396973
45	29451	394388
46	30132	394289
47	30638	391922
48	31259	391062
49	31966	391268
50	32578	390305
51	33196	389418
52	33729	387571
53	34339	386635
54	34928	385484
55	35371	382770
56	35873	380764
57	36567	380807
58	37139	379576
59	37837	379637
60	38474	379071
61	39183	379192
62	39610	376618
63	40202	375643
64	40762	374388
65	41488	374657
66	42135	374185
67	42871	374497
68	43498	373836
69	44190	373728
70	44824	373118
71	45510	372932
72	46184	372637
73	46716	371209
74	47101	368650
75	47621	367188
76	48088	365346
77	48660	364332
78	49164	362823
79	49605	360882
80	50079	359210
81	50760	359037
82	51303	357891
83	51838	356701
84	52383	355589
85	53052	355329
86	53589	354182
87	54273	354013
88	54804	352844
89	55313	351547
90	55853	350467
91	56439	349676
92	57224	350116
93	57947	350149
94	58739	350580
95	59216	349128
96	59833	348515
97	60341	347274
98	60872	346171
99	61324	344643
100	61847	343529
101	62369	342418
102	62992	341872
103	63631	341405
104	64298	341085
105	64850	340158
106	65301	338714
107	65933	338215
108	66566	337720
109	67059	336516
110	67657	335851
111	68296	335382
112	68857	334536
113	69403	333623
114	70023	333070
115	70608	332347
116	71167	331507
117	71847	331231
118	72381	330276
119	72795	328793
120	73330	327866
121	73885	327035
122	74441	326212
123	74991	325367
124	75496	324332
125	76072	323611
126	76722	323199
127	77342	322661
128	77918	321943
129	78426	320945
130	79079	320543
131	79799	320406
132	80317	319459
133	80913	318821
134	81450	317959
135	81874	316661
136	82320	315460
137	82709	314055
138	83173	312949
139	83821	312534
140	84418	311930
141	84974	311174
142	85520	310384
143	86067	309604
144	86574	308682
145	87108	307863
146	87662	307115
147	88372	306914
148	88945	306234
149	89462	305363
150	90065	304791
151	90746	304478
152	91290	303703
153	91982	303421
154	92601	302896
155	93273	302541
156	93885	301988
157	94456	301303
158	95005	300553
159	95561	299822
160	96003	298744
161	96632	298248
162	97143	297389
163	97801	296983
164	98315	296139
165	98790	295180
166	99408	294653
167	99927	293834
168	100403	292893
169	101105	292611
170	101530	291528
171	102083	290820
172	102653	290159
173	103280	289660
174	103802	288868
175	104385	288244
176	104885	287399
177	105540	286976
178	106082	286245
179	106759	285879
180	107372	285338
181	107986	284800
182	108467	283911
183	108935	282994
184	109536	282425
185	110087	281729
186	110670	281113
187	111222	280422
188	111802	279802
189	112321	279029
190	112818	278206
191	113284	277312
192	113822	276594
193	114531	276292
194	115098	275646
195	115648	274959
196	116164	274195
197	116658	273381
198	117132	272525
199	117662	271800
200	118040	270730
201	118702	270313
202	119302	269753
203	120040	269502
204	120476	268573
205	121033	267919
206	121468	266994
207	122002	266293
208	122540	265602
209	122919	264569
210	123443	263854
211	124150	263527
212	124764	263000
213	125423	262569
214	126057	262081
215	126675	261560
216	127268	260988
217	127730	260149
218	128354	259638
219	128822	258815
220	129353	258122
221	129828	257318
222	130580	257062
223	131178	256500
224	131680	255752
225	132339	255309
226	132795	254475
227	133323	253782
228	133911	253202
229	134443	252519
230	135193	252245
231	135926	251932
232	136456	251244
233	136981	250547
234	137547	249926
235	138136	249347
236	138712	248745
237	139105	247818
238	139652	247168
239	140368	246814
240	140954	246231
241	141412	245426
242	141870	244623
243	142372	243900
244	142885	243197
245	143346	242406
246	143854	241698
247	144354	240978
248	144877	240298
249	145443	239690
250	146115	239256
251	146996	239160
252	147706	238782
253	148233	238107
254	148863	237597
255	149413	236960
256	149973	236339
257	150629	235869
258	151288	235403
259	151830	234753
260	152408	234160
261	153010	233603
262	153685	233157
263	154299	232617
264	154988	232190
265	155459	231435
266	155959	230726
267	156384	229908
268	157035	229423
269	157457	228605
270	157875	227783
271	158413	227136
272	158859	226359
273	159336	225629
274	159862	224970
275	160631	224650
276	161371	224288
277	161914	223651
278	162588	223194
279	163165	222603
280	163719	221983
281	164351	221466
282	164990	220959
283	165523	220309
284	166119	219744
285	166659	219104
286	167412	218744
287	168034	218211
288	168730	217773
289	169304	217176
290	169913	216625
291	170354	215859
292	170856	215174
293	171390	214530
294	171855	213799
295	172405	213177
296	173091	212721
297	173713	212186
298	174449	211790
299	175019	211190
300	175561	210557
301	176111	209934
